event_code,title,url
muong-pon-flash-flood-2024-07-25,"7 người chết, mất tích do lũ quét trong đêm tại Mường Pồn",https://nhandan.vn/tim-kiem/?q=M%C6%B0%E1%BB%9Dng%20P%E1%BB%93n%20l%C5%A9%20qu%C3%A9t
muong-pon-flash-flood-2024-07-25,Data provenance của dự án,docs/compliance/data-provenance.md
dien-bien-east-flood-landslide-2025-08-01,"Lũ quét, sạt lở ở Điện Biên: 11 người chết, mất tích",https://xaydungchinhsach.chinhphu.vn/tim-kiem.htm?keywords=%C4%90i%E1%BB%87n%20Bi%C3%AAn%20l%C5%A9%20qu%C3%A9t
dien-bien-east-flood-landslide-2025-08-01,"Xử lý môi trường sau ảnh hưởng do lũ, sạt lở",http://ttytdbd.syt.dienbien.gov.vn/news/xu-ly-moi-truong-sau-anh-huong-do-lu-sat-lo
phieng-dat-b-landslide-2022-06,Điện Biên qua Báo chí Trung ương - Tháng 6/2022,https://svhttdl.dienbien.gov.vn
